id,polygon,income,household_size,vehicles,number_of_workers
10,"POLYGON ((-9236438.960131545 4857502.681050828, -9236458.960131545 4857522.681050828, -9236478.960131545 4857502.681050828, -9236438.960131545 4857502.681050828, -9236478.960131545 4857502.681050828, -9236478.960131545 4857472.681050828, -9236463.960131545 4857472.681050828, -9236463.960131545 4857487.681050828, -9236453.960131545 4857487.681050828, -9236453.960131545 4857472.681050828, -9236463.960131545 4857472.681050828, -9236438.960131545 4857472.681050828, -9236438.960131545 4857502.681050828))",50000,2,1,1
11,"POLYGON ((-9236605.545011962 4857524.763862161, -9236625.545011962 4857544.763862161, -9236645.545011962 4857524.763862161, -9236605.545011962 4857524.763862161, -9236645.545011962 4857524.763862161, -9236645.545011962 4857494.763862161, -9236630.545011962 4857494.763862161, -9236630.545011962 4857509.763862161, -9236620.545011962 4857509.763862161, -9236620.545011962 4857494.763862161, -9236630.545011962 4857494.763862161, -9236605.545011962 4857494.763862161, -9236605.545011962 4857524.763862161))",53000,1,1,0
12,"POLYGON ((-9236520.773883725 4857310.109701169, -9236540.773883725 4857330.109701169, -9236560.773883725 4857310.109701169, -9236520.773883725 4857310.109701169, -9236560.773883725 4857310.109701169, -9236560.773883725 4857280.109701169, -9236545.773883725 4857280.109701169, -9236545.773883725 4857295.109701169, -9236535.773883725 4857295.109701169, -9236535.773883725 4857280.109701169, -9236545.773883725 4857280.109701169, -9236520.773883725 4857280.109701169, -9236520.773883725 4857310.109701169))",112000,2,2,2
13,"POLYGON ((-9236514.542320175 4857546.268038164, -9236534.542320175 4857566.268038164, -9236554.542320175 4857546.268038164, -9236514.542320175 4857546.268038164, -9236554.542320175 4857546.268038164, -9236554.542320175 4857516.268038164, -9236539.542320175 4857516.268038164, -9236539.542320175 4857531.268038164, -9236529.542320175 4857531.268038164, -9236529.542320175 4857516.268038164, -9236539.542320175 4857516.268038164, -9236514.542320175 4857516.268038164, -9236514.542320175 4857546.268038164))",26000,4,0,0
14,"POLYGON ((-9236569.710217606 4857364.266812462, -9236589.710217606 4857384.266812462, -9236609.710217606 4857364.266812462, -9236569.710217606 4857364.266812462, -9236609.710217606 4857364.266812462, -9236609.710217606 4857334.266812462, -9236594.710217606 4857334.266812462, -9236594.710217606 4857349.266812462, -9236584.710217606 4857349.266812462, -9236584.710217606 4857334.266812462, -9236594.710217606 4857334.266812462, -9236569.710217606 4857334.266812462, -9236569.710217606 4857364.266812462))",44000,4,1,0
15,"POLYGON ((-9236557.868526857 4857476.0996620795, -9236577.868526857 4857496.0996620795, -9236597.868526857 4857476.0996620795, -9236557.868526857 4857476.0996620795, -9236597.868526857 4857476.0996620795, -9236597.868526857 4857446.0996620795, -9236582.868526857 4857446.0996620795, -9236582.868526857 4857461.0996620795, -9236572.868526857 4857461.0996620795, -9236572.868526857 4857446.0996620795, -9236582.868526857 4857446.0996620795, -9236557.868526857 4857446.0996620795, -9236557.868526857 4857476.0996620795))",25000,4,0,3
16,"POLYGON ((-9236445.335864883 4857363.375013262, -9236465.335864883 4857383.375013262, -9236485.335864883 4857363.375013262, -9236445.335864883 4857363.375013262, -9236485.335864883 4857363.375013262, -9236485.335864883 4857333.375013262, -9236470.335864883 4857333.375013262, -9236470.335864883 4857348.375013262, -9236460.335864883 4857348.375013262, -9236460.335864883 4857333.375013262, -9236470.335864883 4857333.375013262, -9236445.335864883 4857333.375013262, -9236445.335864883 4857363.375013262))",124000,2,0,1
17,"POLYGON ((-9236615.044716401 4857419.186682394, -9236635.044716401 4857439.186682394, -9236655.044716401 4857419.186682394, -9236615.044716401 4857419.186682394, -9236655.044716401 4857419.186682394, -9236655.044716401 4857389.186682394, -9236640.044716401 4857389.186682394, -9236640.044716401 4857404.186682394, -9236630.044716401 4857404.186682394, -9236630.044716401 4857389.186682394, -9236640.044716401 4857389.186682394, -9236615.044716401 4857389.186682394, -9236615.044716401 4857419.186682394))",93000,4,2,3
18,"POLYGON ((-9236532.918543456 4857146.82378277, -9236552.918543456 4857166.82378277, -9236572.918543456 4857146.82378277, -9236532.918543456 4857146.82378277, -9236572.918543456 4857146.82378277, -9236572.918543456 4857116.82378277, -9236557.918543456 4857116.82378277, -9236557.918543456 4857131.82378277, -9236547.918543456 4857131.82378277, -9236547.918543456 4857116.82378277, -9236557.918543456 4857116.82378277, -9236532.918543456 4857116.82378277, -9236532.918543456 4857146.82378277))",34000,3,0,1
19,"POLYGON ((-9236580.282250589 4857226.595893062, -9236600.282250589 4857246.595893062, -9236620.282250589 4857226.595893062, -9236580.282250589 4857226.595893062, -9236620.282250589 4857226.595893062, -9236620.282250589 4857196.595893062, -9236605.282250589 4857196.595893062, -9236605.282250589 4857211.595893062, -9236595.282250589 4857211.595893062, -9236595.282250589 4857196.595893062, -9236605.282250589 4857196.595893062, -9236580.282250589 4857196.595893062, -9236580.282250589 4857226.595893062))",116000,3,1,0
20,"POLYGON ((-9236499.781529242 4857242.565869797, -9236519.781529242 4857262.565869797, -9236539.781529242 4857242.565869797, -9236499.781529242 4857242.565869797, -9236539.781529242 4857242.565869797, -9236539.781529242 4857212.565869797, -9236524.781529242 4857212.565869797, -9236524.781529242 4857227.565869797, -9236514.781529242 4857227.565869797, -9236514.781529242 4857212.565869797, -9236524.781529242 4857212.565869797, -9236499.781529242 4857212.565869797, -9236499.781529242 4857242.565869797))",60000,3,1,1
21,"POLYGON ((-9236450.601218948 4857251.148984524, -9236470.601218948 4857271.148984524, -9236490.601218948 4857251.148984524, -9236450.601218948 4857251.148984524, -9236490.601218948 4857251.148984524, -9236490.601218948 4857221.148984524, -9236475.601218948 4857221.148984524, -9236475.601218948 4857236.148984524, -9236465.601218948 4857236.148984524, -9236465.601218948 4857221.148984524, -9236475.601218948 4857221.148984524, -9236450.601218948 4857221.148984524, -9236450.601218948 4857251.148984524))",82000,3,1,2
22,"POLYGON ((-9236703.218944281 4857231.206415487, -9236723.218944281 4857251.206415487, -9236743.218944281 4857231.206415487, -9236703.218944281 4857231.206415487, -9236743.218944281 4857231.206415487, -9236743.218944281 4857201.206415487, -9236728.218944281 4857201.206415487, -9236728.218944281 4857216.206415487, -9236718.218944281 4857216.206415487, -9236718.218944281 4857201.206415487, -9236728.218944281 4857201.206415487, -9236703.218944281 4857201.206415487, -9236703.218944281 4857231.206415487))",71000,3,0,1
23,"POLYGON ((-9236734.696623323 4857272.963096326, -9236754.696623323 4857292.963096326, -9236774.696623323 4857272.963096326, -9236734.696623323 4857272.963096326, -9236774.696623323 4857272.963096326, -9236774.696623323 4857242.963096326, -9236759.696623323 4857242.963096326, -9236759.696623323 4857257.963096326, -9236749.696623323 4857257.963096326, -9236749.696623323 4857242.963096326, -9236759.696623323 4857242.963096326, -9236734.696623323 4857242.963096326, -9236734.696623323 4857272.963096326))",61000,2,0,1
24,"POLYGON ((-9236647.046042442 4857271.413588039, -9236667.046042442 4857291.413588039, -9236687.046042442 4857271.413588039, -9236647.046042442 4857271.413588039, -9236687.046042442 4857271.413588039, -9236687.046042442 4857241.413588039, -9236672.046042442 4857241.413588039, -9236672.046042442 4857256.413588039, -9236662.046042442 4857256.413588039, -9236662.046042442 4857241.413588039, -9236672.046042442 4857241.413588039, -9236647.046042442 4857241.413588039, -9236647.046042442 4857271.413588039))",15000,4,1,1
25,"POLYGON ((-9236549.640637927 4857007.006545042, -9236569.640637927 4857027.006545042, -9236589.640637927 4857007.006545042, -9236549.640637927 4857007.006545042, -9236589.640637927 4857007.006545042, -9236589.640637927 4856977.006545042, -9236574.640637927 4856977.006545042, -9236574.640637927 4856992.006545042, -9236564.640637927 4856992.006545042, -9236564.640637927 4856977.006545042, -9236574.640637927 4856977.006545042, -9236549.640637927 4856977.006545042, -9236549.640637927 4857007.006545042))",46000,1,2,0
26,"POLYGON ((-9236596.648288924 4857009.871513312, -9236616.648288924 4857029.871513312, -9236636.648288924 4857009.871513312, -9236596.648288924 4857009.871513312, -9236636.648288924 4857009.871513312, -9236636.648288924 4856979.871513312, -9236621.648288924 4856979.871513312, -9236621.648288924 4856994.871513312, -9236611.648288924 4856994.871513312, -9236611.648288924 4856979.871513312, -9236621.648288924 4856979.871513312, -9236596.648288924 4856979.871513312, -9236596.648288924 4857009.871513312))",101000,4,2,1
27,"POLYGON ((-9236587.484341621 4857098.883006471, -9236607.484341621 4857118.883006471, -9236627.484341621 4857098.883006471, -9236587.484341621 4857098.883006471, -9236627.484341621 4857098.883006471, -9236627.484341621 4857068.883006471, -9236612.484341621 4857068.883006471, -9236612.484341621 4857083.883006471, -9236602.484341621 4857083.883006471, -9236602.484341621 4857068.883006471, -9236612.484341621 4857068.883006471, -9236587.484341621 4857068.883006471, -9236587.484341621 4857098.883006471))",50000,4,1,1
28,"POLYGON ((-9236583.677276827 4857163.535529326, -9236603.677276827 4857183.535529326, -9236623.677276827 4857163.535529326, -9236583.677276827 4857163.535529326, -9236623.677276827 4857163.535529326, -9236623.677276827 4857133.535529326, -9236608.677276827 4857133.535529326, -9236608.677276827 4857148.535529326, -9236598.677276827 4857148.535529326, -9236598.677276827 4857133.535529326, -9236608.677276827 4857133.535529326, -9236583.677276827 4857133.535529326, -9236583.677276827 4857163.535529326))",28000,3,1,1
29,"POLYGON ((-9236540.405604718 4856955.315651277, -9236560.405604718 4856975.315651277, -9236580.405604718 4856955.315651277, -9236540.405604718 4856955.315651277, -9236580.405604718 4856955.315651277, -9236580.405604718 4856925.315651277, -9236565.405604718 4856925.315651277, -9236565.405604718 4856940.315651277, -9236555.405604718 4856940.315651277, -9236555.405604718 4856925.315651277, -9236565.405604718 4856925.315651277, -9236540.405604718 4856925.315651277, -9236540.405604718 4856955.315651277))",24000,3,0,1
30,"POLYGON ((-9236581.081928013 4856913.917892418, -9236601.081928013 4856933.917892418, -9236621.081928013 4856913.917892418, -9236581.081928013 4856913.917892418, -9236621.081928013 4856913.917892418, -9236621.081928013 4856883.917892418, -9236606.081928013 4856883.917892418, -9236606.081928013 4856898.917892418, -9236596.081928013 4856898.917892418, -9236596.081928013 4856883.917892418, -9236606.081928013 4856883.917892418, -9236581.081928013 4856883.917892418, -9236581.081928013 4856913.917892418))",40000,2,2,2
31,"POLYGON ((-9236748.590316603 4856953.857581688, -9236768.590316603 4856973.857581688, -9236788.590316603 4856953.857581688, -9236748.590316603 4856953.857581688, -9236788.590316603 4856953.857581688, -9236788.590316603 4856923.857581688, -9236773.590316603 4856923.857581688, -9236773.590316603 4856938.857581688, -9236763.590316603 4856938.857581688, -9236763.590316603 4856923.857581688, -9236773.590316603 4856923.857581688, -9236748.590316603 4856923.857581688, -9236748.590316603 4856953.857581688))",35000,1,1,0
32,"POLYGON ((-9236631.811419114 4856932.824307342, -9236651.811419114 4856952.824307342, -9236671.811419114 4856932.824307342, -9236631.811419114 4856932.824307342, -9236671.811419114 4856932.824307342, -9236671.811419114 4856902.824307342, -9236656.811419114 4856902.824307342, -9236656.811419114 4856917.824307342, -9236646.811419114 4856917.824307342, -9236646.811419114 4856902.824307342, -9236656.811419114 4856902.824307342, -9236631.811419114 4856902.824307342, -9236631.811419114 4856932.824307342))",78000,4,0,1
33,"POLYGON ((-9236687.702990374 4856917.639237412, -9236707.702990374 4856937.639237412, -9236727.702990374 4856917.639237412, -9236687.702990374 4856917.639237412, -9236727.702990374 4856917.639237412, -9236727.702990374 4856887.639237412, -9236712.702990374 4856887.639237412, -9236712.702990374 4856902.639237412, -9236702.702990374 4856902.639237412, -9236702.702990374 4856887.639237412, -9236712.702990374 4856887.639237412, -9236687.702990374 4856887.639237412, -9236687.702990374 4856917.639237412))",53000,3,1,1
34,"POLYGON ((-9236547.59454931 4856815.379674016, -9236567.59454931 4856835.379674016, -9236587.59454931 4856815.379674016, -9236547.59454931 4856815.379674016, -9236587.59454931 4856815.379674016, -9236587.59454931 4856785.379674016, -9236572.59454931 4856785.379674016, -9236572.59454931 4856800.379674016, -9236562.59454931 4856800.379674016, -9236562.59454931 4856785.379674016, -9236572.59454931 4856785.379674016, -9236547.59454931 4856785.379674016, -9236547.59454931 4856815.379674016))",101000,1,1,0
35,"POLYGON ((-9236590.487116665 4856779.716338119, -9236610.487116665 4856799.716338119, -9236630.487116665 4856779.716338119, -9236590.487116665 4856779.716338119, -9236630.487116665 4856779.716338119, -9236630.487116665 4856749.716338119, -9236615.487116665 4856749.716338119, -9236615.487116665 4856764.716338119, -9236605.487116665 4856764.716338119, -9236605.487116665 4856749.716338119, -9236615.487116665 4856749.716338119, -9236590.487116665 4856749.716338119, -9236590.487116665 4856779.716338119))",27000,1,1,0
36,"POLYGON ((-9236536.770078726 4856889.018702502, -9236556.770078726 4856909.018702502, -9236576.770078726 4856889.018702502, -9236536.770078726 4856889.018702502, -9236576.770078726 4856889.018702502, -9236576.770078726 4856859.018702502, -9236561.770078726 4856859.018702502, -9236561.770078726 4856874.018702502, -9236551.770078726 4856874.018702502, -9236551.770078726 4856859.018702502, -9236561.770078726 4856859.018702502, -9236536.770078726 4856859.018702502, -9236536.770078726 4856889.018702502))",23000,2,1,1
37,"POLYGON ((-9236468.788638728 4856957.327232868, -9236488.788638728 4856977.327232868, -9236508.788638728 4856957.327232868, -9236468.788638728 4856957.327232868, -9236508.788638728 4856957.327232868, -9236508.788638728 4856927.327232868, -9236493.788638728 4856927.327232868, -9236493.788638728 4856942.327232868, -9236483.788638728 4856942.327232868, -9236483.788638728 4856927.327232868, -9236493.788638728 4856927.327232868, -9236468.788638728 4856927.327232868, -9236468.788638728 4856957.327232868))",56000,1,1,0
38,"POLYGON ((-9236469.611858243 4856903.342355527, -9236489.611858243 4856923.342355527, -9236509.611858243 4856903.342355527, -9236469.611858243 4856903.342355527, -9236509.611858243 4856903.342355527, -9236509.611858243 4856873.342355527, -9236494.611858243 4856873.342355527, -9236494.611858243 4856888.342355527, -9236484.611858243 4856888.342355527, -9236484.611858243 4856873.342355527, -9236494.611858243 4856873.342355527, -9236469.611858243 4856873.342355527, -9236469.611858243 4856903.342355527))",59000,3,2,2
39,"POLYGON ((-9236588.116330137 4856963.92145511, -9236608.116330137 4856983.92145511, -9236628.116330137 4856963.92145511, -9236588.116330137 4856963.92145511, -9236628.116330137 4856963.92145511, -9236628.116330137 4856933.92145511, -9236613.116330137 4856933.92145511, -9236613.116330137 4856948.92145511, -9236603.116330137 4856948.92145511, -9236603.116330137 4856933.92145511, -9236613.116330137 4856933.92145511, -9236588.116330137 4856933.92145511, -9236588.116330137 4856963.92145511))",117000,2,3,1
40,"POLYGON ((-9236596.901378918 4856831.539443352, -9236616.901378918 4856851.539443352, -9236636.901378918 4856831.539443352, -9236596.901378918 4856831.539443352, -9236636.901378918 4856831.539443352, -9236636.901378918 4856801.539443352, -9236621.901378918 4856801.539443352, -9236621.901378918 4856816.539443352, -9236611.901378918 4856816.539443352, -9236611.901378918 4856801.539443352, -9236621.901378918 4856801.539443352, -9236596.901378918 4856801.539443352, -9236596.901378918 4856831.539443352))",28000,3,2,2
41,"POLYGON ((-9236545.337325726 4856759.035613921, -9236565.337325726 4856779.035613921, -9236585.337325726 4856759.035613921, -9236545.337325726 4856759.035613921, -9236585.337325726 4856759.035613921, -9236585.337325726 4856729.035613921, -9236570.337325726 4856729.035613921, -9236570.337325726 4856744.035613921, -9236560.337325726 4856744.035613921, -9236560.337325726 4856729.035613921, -9236570.337325726 4856729.035613921, -9236545.337325726 4856729.035613921, -9236545.337325726 4856759.035613921))",67000,2,3,2
42,"POLYGON ((-9236480.79601625 4856783.95110856, -9236500.79601625 4856803.95110856, -9236520.79601625 4856783.95110856, -9236480.79601625 4856783.95110856, -9236520.79601625 4856783.95110856, -9236520.79601625 4856753.95110856, -9236505.79601625 4856753.95110856, -9236505.79601625 4856768.95110856, -9236495.79601625 4856768.95110856, -9236495.79601625 4856753.95110856, -9236505.79601625 4856753.95110856, -9236480.79601625 4856753.95110856, -9236480.79601625 4856783.95110856))",28000,1,1,1
43,"POLYGON ((-9236584.633948486 4856671.888970181, -9236604.633948486 4856691.888970181, -9236624.633948486 4856671.888970181, -9236584.633948486 4856671.888970181, -9236624.633948486 4856671.888970181, -9236624.633948486 4856641.888970181, -9236609.633948486 4856641.888970181, -9236609.633948486 4856656.888970181, -9236599.633948486 4856656.888970181, -9236599.633948486 4856641.888970181, -9236609.633948486 4856641.888970181, -9236584.633948486 4856641.888970181, -9236584.633948486 4856671.888970181))",50000,1,1,0
44,"POLYGON ((-9236605.834223203 4856605.261613348, -9236625.834223203 4856625.261613348, -9236645.834223203 4856605.261613348, -9236605.834223203 4856605.261613348, -9236645.834223203 4856605.261613348, -9236645.834223203 4856575.261613348, -9236630.834223203 4856575.261613348, -9236630.834223203 4856590.261613348, -9236620.834223203 4856590.261613348, -9236620.834223203 4856575.261613348, -9236630.834223203 4856575.261613348, -9236605.834223203 4856575.261613348, -9236605.834223203 4856605.261613348))",28000,4,2,0
45,"POLYGON ((-9236613.942967294 4856725.7856579665, -9236633.942967294 4856745.7856579665, -9236653.942967294 4856725.7856579665, -9236613.942967294 4856725.7856579665, -9236653.942967294 4856725.7856579665, -9236653.942967294 4856695.7856579665, -9236638.942967294 4856695.7856579665, -9236638.942967294 4856710.7856579665, -9236628.942967294 4856710.7856579665, -9236628.942967294 4856695.7856579665, -9236638.942967294 4856695.7856579665, -9236613.942967294 4856695.7856579665, -9236613.942967294 4856725.7856579665))",109000,4,1,1
46,"POLYGON ((-9236579.558994917 4856550.136823274, -9236599.558994917 4856570.136823274, -9236619.558994917 4856550.136823274, -9236579.558994917 4856550.136823274, -9236619.558994917 4856550.136823274, -9236619.558994917 4856520.136823274, -9236604.558994917 4856520.136823274, -9236604.558994917 4856535.136823274, -9236594.558994917 4856535.136823274, -9236594.558994917 4856520.136823274, -9236604.558994917 4856520.136823274, -9236579.558994917 4856520.136823274, -9236579.558994917 4856550.136823274))",50000,3,0,1
47,"POLYGON ((-9236565.0646888 4856624.588480457, -9236585.0646888 4856644.588480457, -9236605.0646888 4856624.588480457, -9236565.0646888 4856624.588480457, -9236605.0646888 4856624.588480457, -9236605.0646888 4856594.588480457, -9236590.0646888 4856594.588480457, -9236590.0646888 4856609.588480457, -9236580.0646888 4856609.588480457, -9236580.0646888 4856594.588480457, -9236590.0646888 4856594.588480457, -9236565.0646888 4856594.588480457, -9236565.0646888 4856624.588480457))",31000,3,2,2
48,"POLYGON ((-9236545.050201554 4857858.73287266, -9236565.050201554 4857878.73287266, -9236585.050201554 4857858.73287266, -9236545.050201554 4857858.73287266, -9236585.050201554 4857858.73287266, -9236585.050201554 4857828.73287266, -9236570.050201554 4857828.73287266, -9236570.050201554 4857843.73287266, -9236560.050201554 4857843.73287266, -9236560.050201554 4857828.73287266, -9236570.050201554 4857828.73287266, -9236545.050201554 4857828.73287266, -9236545.050201554 4857858.73287266))",25000,4,2,2
49,"POLYGON ((-9236525.163057227 4857801.512839672, -9236545.163057227 4857821.512839672, -9236565.163057227 4857801.512839672, -9236525.163057227 4857801.512839672, -9236565.163057227 4857801.512839672, -9236565.163057227 4857771.512839672, -9236550.163057227 4857771.512839672, -9236550.163057227 4857786.512839672, -9236540.163057227 4857786.512839672, -9236540.163057227 4857771.512839672, -9236550.163057227 4857771.512839672, -9236525.163057227 4857771.512839672, -9236525.163057227 4857801.512839672))",21000,4,0,2
50,"POLYGON ((-9236498.193665467 4857734.129088395, -9236518.193665467 4857754.129088395, -9236538.193665467 4857734.129088395, -9236498.193665467 4857734.129088395, -9236538.193665467 4857734.129088395, -9236538.193665467 4857704.129088395, -9236523.193665467 4857704.129088395, -9236523.193665467 4857719.129088395, -9236513.193665467 4857719.129088395, -9236513.193665467 4857704.129088395, -9236523.193665467 4857704.129088395, -9236498.193665467 4857704.129088395, -9236498.193665467 4857734.129088395))",50000,2,1,1
51,"POLYGON ((-9236546.475700058 4857736.096731904, -9236566.475700058 4857756.096731904, -9236586.475700058 4857736.096731904, -9236546.475700058 4857736.096731904, -9236586.475700058 4857736.096731904, -9236586.475700058 4857706.096731904, -9236571.475700058 4857706.096731904, -9236571.475700058 4857721.096731904, -9236561.475700058 4857721.096731904, -9236561.475700058 4857706.096731904, -9236571.475700058 4857706.096731904, -9236546.475700058 4857706.096731904, -9236546.475700058 4857736.096731904))",85000,3,1,1
52,"POLYGON ((-9236606.31700183 4857672.176583329, -9236626.31700183 4857692.176583329, -9236646.31700183 4857672.176583329, -9236606.31700183 4857672.176583329, -9236646.31700183 4857672.176583329, -9236646.31700183 4857642.176583329, -9236631.31700183 4857642.176583329, -9236631.31700183 4857657.176583329, -9236621.31700183 4857657.176583329, -9236621.31700183 4857642.176583329, -9236631.31700183 4857642.176583329, -9236606.31700183 4857642.176583329, -9236606.31700183 4857672.176583329))",10000,1,1,1
53,"POLYGON ((-9236763.882490633 4857222.9654924115, -9236783.882490633 4857242.9654924115, -9236803.882490633 4857222.9654924115, -9236763.882490633 4857222.9654924115, -9236803.882490633 4857222.9654924115, -9236803.882490633 4857192.9654924115, -9236788.882490633 4857192.9654924115, -9236788.882490633 4857207.9654924115, -9236778.882490633 4857207.9654924115, -9236778.882490633 4857192.9654924115, -9236788.882490633 4857192.9654924115, -9236763.882490633 4857192.9654924115, -9236763.882490633 4857222.9654924115))",32000,3,1,1
54,"POLYGON ((-9236551.3959821 4857268.109621537, -9236571.3959821 4857288.109621537, -9236591.3959821 4857268.109621537, -9236551.3959821 4857268.109621537, -9236591.3959821 4857268.109621537, -9236591.3959821 4857238.109621537, -9236576.3959821 4857238.109621537, -9236576.3959821 4857253.109621537, -9236566.3959821 4857253.109621537, -9236566.3959821 4857238.109621537, -9236576.3959821 4857238.109621537, -9236551.3959821 4857238.109621537, -9236551.3959821 4857268.109621537))",116000,3,2,1
55,"POLYGON ((-9236628.786263641 4857219.976665245, -9236648.786263641 4857239.976665245, -9236668.786263641 4857219.976665245, -9236628.786263641 4857219.976665245, -9236668.786263641 4857219.976665245, -9236668.786263641 4857189.976665245, -9236653.786263641 4857189.976665245, -9236653.786263641 4857204.976665245, -9236643.786263641 4857204.976665245, -9236643.786263641 4857189.976665245, -9236653.786263641 4857189.976665245, -9236628.786263641 4857189.976665245, -9236628.786263641 4857219.976665245))",189000,4,1,1
56,"POLYGON ((-9236683.931056518 4856975.604866782, -9236703.931056518 4856995.604866782, -9236723.931056518 4856975.604866782, -9236683.931056518 4856975.604866782, -9236723.931056518 4856975.604866782, -9236723.931056518 4856945.604866782, -9236708.931056518 4856945.604866782, -9236708.931056518 4856960.604866782, -9236698.931056518 4856960.604866782, -9236698.931056518 4856945.604866782, -9236708.931056518 4856945.604866782, -9236683.931056518 4856945.604866782, -9236683.931056518 4856975.604866782))",25000,1,1,0
